"Data Table: Multiple sclerosis, Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'80+'","2016","0.14","0.14","0.15","2.30","1885","1328195",
"Canada","Both sexes","'80-84'","2016","0.18","0.17","0.19","3.04","1080","611525",
"Canada","Both sexes","'85-89'","2016","0.13","0.12","0.14","4.30","540","418745",
"Canada","Both sexes","'90+'","2016","0.09","0.08","0.10","6.20","260","297920",
"Canada","Both sexes","'20+'","2017","0.28","0.28","0.28","0.39","65315","23497750",
"Canada","Both sexes","'20-34'","2017","0.09","0.09","0.09","1.37","5350","6108955",
"Canada","Both sexes","'20-24'","2017","0.02","0.02","0.03","4.77","440","1872520",
"Canada","Both sexes","'25-29'","2017","0.08","0.07","0.08","2.49","1610","2099180",
"Canada","Both sexes","'30-34'","2017","0.15","0.15","0.16","1.74","3300","2137255",
"Canada","Both sexes","'35-49'","2017","0.30","0.30","0.30","0.74","18205","6071880",
"Canada","Both sexes","'35-39'","2017","0.24","0.23","0.24","1.43","4900","2066580",
"Canada","Both sexes","'40-44'","2017","0.30","0.30","0.31","1.29","5990","1967080",
"Canada","Both sexes","'45-49'","2017","0.36","0.35","0.37","1.17","7315","2038225",
"Canada","Both sexes","'50-64'","2017","0.43","0.42","0.43","0.61","26595","6229925",
"Canada","Both sexes","'50-54'","2017","0.41","0.40","0.42","1.07","8725","2126740",
"Canada","Both sexes","'55-59'","2017","0.43","0.42","0.44","1.03","9370","2175820",
"Canada","Both sexes","'60-64'","2017","0.44","0.43","0.45","1.08","8500","1927365",
"Canada","Both sexes","'65-79'","2017","0.35","0.35","0.36","0.87","13135","3723480",
"Canada","Both sexes","'65-69'","2017","0.40","0.39","0.41","1.25","6350","1593910",
